sample.id	Original.ID	Location.Sample.date	Facility	Year	Season	Room	Object	Risk	sample	Density	Fill_bins	Fill	APC_log
sample-342	31	WS.31.3	Facility 1	2023	Winter	Post-Pasteurization 	FPE Structure	two	sample-342	High	High	Fill	5.235528447
sample-471	31	NL.31.1	Facility 3	2022	Summer	Filling	Door	three	sample-471	Medium	Medium	Fill	4.903089987
sample-497	31	WS.31.1	Facility 1	2022	Summer	Post-Pasteurization 	FPE Structure	two	sample-497	Medium	Medium	Fill	4.193124598
sample-445	31A	B.31A.1	Facility 2	2022	Summer	Warehouse	Forklift/Pallet Jack	three	sample-445	Low	Low	Fill	2.829303773
sample-63	32	B.32.2	Facility 2	2022	Fall	Warehouse	Forklift/Pallet Jack	three	sample-63	Medium	Medium	Fill	3.903089987
sample-64	32	B.32.4	Facility 2	2023	Spring	Warehouse	Forklift/Pallet Jack	three	sample-64	Medium	Medium	Fill	3.662757832
sample-65	32	B.32.3	Facility 2	2023	Winter	Warehouse	Forklift/Pallet Jack	three	sample-65	Medium	Medium	Fill	3.387389826
sample-202	32	NL.32.2	Facility 3	2022	Fall	Filling	FPE Structure	two	sample-202	Low	Low	Fill	2.991226076
sample-203	32	NL.32.3	Facility 3	2023	Winter	Filling	FPE Structure	two	sample-203	Medium	Medium	Fill	4.324282455
sample-446	32A	B.32A.1	Facility 2	2022	Summer	Warehouse	Forklift/Pallet Jack	three	sample-446	Low	Low	Fill	2.69019608
sample-447	32B	B.32B.1	Facility 2	2022	Summer	Warehouse	Forklift/Pallet Jack	three	sample-447	Low	Low	Fill	2.949390007
sample-66	33	B.33.2	Facility 2	2022	Fall	Warehouse	Door	three	sample-66	Low	Low	Fill	2.84509804
sample-67	33	B.33.4	Facility 2	2023	Spring	Warehouse	Door	three	sample-67	Medium	Medium	Fill	3.093421685
sample-68	33	B.33.3	Facility 2	2023	Winter	Warehouse	Door	three	sample-68	Medium	Medium	Fill	3.10720997
sample-204	33	NL.33.2	Facility 3	2022	Fall	Filling	Door	three	sample-204	Medium	Medium	Fill	3.587710965
sample-205	33	NL.33.4	Facility 3	2023	Spring	Filling	Door	three	sample-205	Low	Low	Fill	2.204119983
sample-206	33	NL.33.3	Facility 3	2023	Winter	Filling	Door	three	sample-206	Low	Low	Fill	2.204119983
sample-343	33	WS.33.2	Facility 1	2022	Fall	Post-Pasteurization 	Non-FPE Structure	two	sample-343	Low	Low	Fill	2.568201724
sample-344	33	WS.33.4	Facility 1	2023	Spring	Post-Pasteurization 	Non-FPE Structure	two	sample-344	Low	Low	Fill	0
sample-345	33	WS.33.3	Facility 1	2023	Winter	Post-Pasteurization 	Non-FPE Structure	two	sample-345	Low	Low	Fill	0
sample-472	33	NL.33.1	Facility 3	2022	Summer	Filling	Door	three	sample-472	Medium	Medium	Fill	4.903089987
sample-448	33B	B.33B.1	Facility 2	2022	Summer	Warehouse	Door	three	sample-448	Medium	Medium	Fill	3.396199347
sample-207	34	NL.34.3	Facility 3	2023	Winter	Filling	FPE Structure	two	sample-207	High	High	Fill	5.079181246
sample-208	35	NL.35.2	Facility 3	2022	Fall	Warehouse	Door	three	sample-208	Low	Low	Fill	1.812913357
sample-346	35	WS.35.2	Facility 1	2022	Fall	Post-Pasteurization 	Drain	three	sample-346	High	High	Fill	7.176091259
sample-347	35	WS.35.4	Facility 1	2023	Spring	Post-Pasteurization 	Drain	three	sample-347	High	High	Fill	8.991226076
sample-348	35	WS.35.3	Facility 1	2023	Winter	Post-Pasteurization 	Drain	three	sample-348	High	High	Fill	9.133538908
sample-473	35	NL.35.1	Facility 3	2022	Summer	Warehouse	Door	three	sample-473	Medium	Medium	Fill	3.698970004
sample-498	35	WS.35.1	Facility 1	2022	Summer	Post-Pasteurization 	Drain	three	sample-498	High	High	Fill	7.526339277
sample-209	36	NL.36.2	Facility 3	2022	Fall	Filling	FPE Structure	two	sample-209	Low	Low	Fill	2.802773725
sample-210	36	NL.36.3	Facility 3	2023	Winter	Filling	FPE Structure	two	sample-210	Low	Low	Fill	2.880813592
sample-349	36	WS.36.2	Facility 1	2022	Fall	Post-Pasteurization 	Wall/Ceiling	three	sample-349	Medium	Medium	Fill	4.431363764
sample-350	36	WS.36.4	Facility 1	2023	Spring	Post-Pasteurization 	Wall/Ceiling	three	sample-350	High	High	Fill	5.264817823
sample-351	36	WS.36.3	Facility 1	2023	Winter	Post-Pasteurization 	Wall/Ceiling	three	sample-351	Medium	Medium	Fill	4.127104798
sample-474	36	NL.36.1	Facility 3	2022	Summer	Filling	FPE Structure	two	sample-474	Low	Low	Fill	2.857332496
sample-499	36	WS.36.1	Facility 1	2022	Summer	Post-Pasteurization 	Wall/Ceiling	three	sample-499	High	High	Fill	5.301029996
sample-211	37	NL.37.2	Facility 3	2022	Fall	Filling	Conveyor	two	sample-211	Low	Low	Fill	2.096910013
sample-212	37	NL.37.4	Facility 3	2023	Spring	Filling	Conveyor	two	sample-212	Low	Low	Fill	2.380211242
sample-213	37	NL.37.3	Facility 3	2023	Winter	Filling	Conveyor	two	sample-213	Medium	Medium	Fill	3.593286067
sample-352	37	WS.37.2	Facility 1	2022	Fall	Post-Pasteurization 	Non-FPE Structure	two	sample-352	Low	Low	Fill	0
sample-353	37	WS.37.3	Facility 1	2023	Winter	Post-Pasteurization 	Non-FPE Structure	three	sample-353	Low	Low	Fill	2.77815125
sample-500	37	WS.37.1	Facility 1	2022	Summer	Post-Pasteurization 	Non-FPE Structure	three	sample-500	High	High	Fill	5.559906625
sample-214	38	NL.38.4	Facility 3	2023	Spring	Filling	FPE Structure	two	sample-214	Low	Low	Fill	3
sample-215	38	NL.38.3	Facility 3	2023	Winter	Filling	FPE Structure	two	sample-215	Medium	Medium	Fill	3.033423755
sample-354	38	WS.38.2	Facility 1	2022	Fall	Filling	Door	three	sample-354	Low	Low	Fill	0
sample-475	38	NL.38.1	Facility 3	2022	Summer	Filling	FPE Structure	two	sample-475	Medium	Medium	Fill	3.903089987
sample-216	39	NL.39.2	Facility 3	2022	Fall	Filling	Conveyor	two	sample-216	Low	Low	Fill	1.544068044
sample-217	39	NL.39.4	Facility 3	2023	Spring	Filling	Conveyor	two	sample-217	Low	Low	Fill	2.556302501
sample-218	39	NL.39.3	Facility 3	2023	Winter	Filling	Conveyor	two	sample-218	Low	Low	Fill	2.77815125
sample-355	39	WS.39.2	Facility 1	2022	Fall	Filling	Forklift/Pallet Jack	two	sample-355	High	High	Fill	6.763427994
sample-356	39	WS.39.4	Facility 1	2023	Spring	Filling	Forklift/Pallet Jack	two	sample-356	Medium	Medium	Fill	3.531478917
sample-357	39	WS.39.3	Facility 1	2023	Winter	Filling	Forklift/Pallet Jack	two	sample-357	High	High	Fill	7.301029996
sample-449	3B	B.03B.1	Facility 2	2022	Summer	Raw	Hose	three	sample-449	High	High	Fill	5.11058971
sample-69	4	B.04.2	Facility 2	2022	Fall	Raw	Cleaning Tools	two	sample-69	Low	Low	Fill	2.728353782
sample-70	4	B.04.4	Facility 2	2023	Spring	Raw	Cleaning Tools	two	sample-70	Medium	Medium	Fill	3.738780558
sample-71	4	B.04.3	Facility 2	2023	Winter	Raw	Cleaning Tools	two	sample-71	Medium	Medium	Fill	3.515873844
sample-219	4	NL.04.2	Facility 3	2022	Fall	Warehouse	Forklift/Pallet Jack	three	sample-219	Medium	Medium	Fill	4.021189299
sample-220	4	NL.04.4	Facility 3	2023	Spring	Warehouse	Forklift/Pallet Jack	three	sample-220	Medium	Medium	Fill	3.816903839
sample-221	4	NL.04.3	Facility 3	2023	Winter	Warehouse	Forklift/Pallet Jack	three	sample-221	High	High	Fill	5.551449998
sample-358	4	WS.04.2	Facility 1	2022	Fall	Warehouse	Drain	three	sample-358	High	High	Fill	6.574031268
sample-359	4	WS.04.4	Facility 1	2023	Spring	Warehouse	Drain	three	sample-359	High	High	Fill	8.113943352
sample-360	4	WS.04.3	Facility 1	2023	Winter	Warehouse	Drain	three	sample-360	High	High	Fill	8.844477176
sample-476	4	NL.04.1	Facility 3	2022	Summer	Warehouse	Forklift/Pallet Jack	three	sample-476	Medium	Medium	Fill	4.397940009
sample-222	40	NL.40.2	Facility 3	2022	Fall	Filling	Drain	three	sample-222	Medium	Medium	Fill	4.176091259
sample-223	40	NL.40.4	Facility 3	2023	Spring	Filling	Drain	three	sample-223	High	High	Fill	6.789580712
sample-224	40	NL.40.3	Facility 3	2023	Winter	Filling	Drain	three	sample-224	Medium	Medium	Fill	4.152288344
sample-361	40	WS.40.2	Facility 1	2022	Fall	Filling	Cart/Rolling Bins	three	sample-361	Medium	Medium	Fill	4.951823035
sample-362	40	WS.40.4	Facility 1	2023	Spring	Filling	Cart/Rolling Bins	three	sample-362	High	High	Fill	6.324282455
sample-363	40	WS.40.3	Facility 1	2023	Winter	Filling	Cart/Rolling Bins	three	sample-363	Low	Low	Fill	2.380211242
sample-477	40	NL.40.1	Facility 3	2022	Summer	Filling	Drain	three	sample-477	High	High	Fill	5.079181246
sample-501	40	WS.40.1	Facility 1	2022	Summer	Filling	Cart/Rolling Bins	three	sample-501	Medium	Medium	Fill	4.857332496
sample-225	41	NL.41.2	Facility 3	2022	Fall	Filling	Conveyor	two	sample-225	Low	Low	Fill	1.477121255
sample-226	41	NL.41.4	Facility 3	2023	Spring	Filling	Conveyor	two	sample-226	Low	Low	Fill	2.716003344
sample-227	41	NL.41.3	Facility 3	2023	Winter	Filling	Conveyor	two	sample-227	Low	Low	Fill	2.681241237
sample-364	41	WS.41.2	Facility 1	2022	Fall	Filling	Cart/Rolling Bins	three	sample-364	High	High	Fill	5.561101384
sample-365	41	WS.41.4	Facility 1	2023	Spring	Filling	Cart/Rolling Bins	three	sample-365	Medium	Medium	Fill	4.77815125
sample-366	41	WS.41.3	Facility 1	2023	Winter	Filling	Cart/Rolling Bins	three	sample-366	High	High	Fill	5.133538908
sample-478	41	NL.41.1	Facility 3	2022	Summer	Filling	Conveyor	two	sample-478	Low	Low	Fill	3
sample-502	41	WS.41.1	Facility 1	2022	Summer	Filling	Cart/Rolling Bins	three	sample-502	Medium	Medium	Fill	4.550228353
sample-228	42	NL.42.2	Facility 3	2022	Fall	Filling	Hose	two	sample-228	Medium	Medium	Fill	3.307496038
sample-229	42	NL.42.4	Facility 3	2023	Spring	Filling	Hose	two	sample-229	Low	Low	Fill	2.380211242
sample-230	42	NL.42.3	Facility 3	2023	Winter	Filling	Hose	two	sample-230	Medium	Medium	Fill	4.686636269
sample-367	42	WS.42.2	Facility 1	2022	Fall	Filling	Drain	three	sample-367	Medium	Medium	Fill	3.096910013
sample-368	42	WS.42.4	Facility 1	2023	Spring	Filling	Drain	three	sample-368	Medium	Medium	Fill	4.206825876
sample-369	42	WS.42.3	Facility 1	2023	Winter	Filling	Drain	three	sample-369	High	High	Fill	7.77524626
sample-503	42	WS.42.1	Facility 1	2022	Summer	Filling	Drain	three	sample-503	Medium	Medium	Fill	4.62324929
sample-231	43	NL.43.2	Facility 3	2022	Fall	Filling	Drain	three	sample-231	High	High	Fill	6.939519253
sample-232	43	NL.43.4	Facility 3	2023	Spring	Filling	Drain	three	sample-232	Medium	Medium	Fill	4.222716471
sample-233	43	NL.43.3	Facility 3	2023	Winter	Filling	Drain	three	sample-233	High	High	Fill	5.10720997
sample-370	43	WS.43.2	Facility 1	2022	Fall	Filling	Forklift/Pallet Jack	two	sample-370	High	High	Fill	6.311753861
sample-371	43	WS.43.4	Facility 1	2023	Spring	Filling	Forklift/Pallet Jack	two	sample-371	High	High	Fill	7.57054294
sample-372	43	WS.43.3	Facility 1	2023	Winter	Filling	Forklift/Pallet Jack	two	sample-372	High	High	Fill	5
sample-479	43	NL.43.1	Facility 3	2022	Summer	Filling	Drain	three	sample-479	Medium	Medium	Fill	4.33243846
sample-504	43	WS.43.1	Facility 1	2022	Summer	Filling	Forklift/Pallet Jack	two	sample-504	High	High	Fill	6.33243846
sample-234	44	NL.44.2	Facility 3	2022	Fall	Filling	Non-FPE Structure	three	sample-234	Low	Low	Fill	1.397940009
sample-235	44	NL.44.4	Facility 3	2023	Spring	Filling	Non-FPE Structure	three	sample-235	Medium	Medium	Fill	3.120573931
sample-236	44	NL.44.3	Facility 3	2023	Winter	Filling	Non-FPE Structure	three	sample-236	High	High	Fill	7.133538908
sample-373	44	WS.44.2	Facility 1	2022	Fall	Filling	Floor Object	three	sample-373	Low	Low	Fill	2.45484486
sample-374	44	WS.44.4	Facility 1	2023	Spring	Filling	Floor Object	three	sample-374	Medium	Medium	Fill	4.146128036
sample-505	44	WS.44.1	Facility 1	2022	Summer	Filling	Floor Object	three	sample-505	Medium	Medium	Fill	3.176091259
sample-237	45	NL.45.2	Facility 3	2022	Fall	Filling	Drain	three	sample-237	Medium	Medium	Fill	4.720159303
sample-238	45	NL.45.3	Facility 3	2023	Winter	Filling	Drain	three	sample-238	Low	Low	Fill	2.857332496
sample-375	45	WS.45.2	Facility 1	2022	Fall	Filling	Conveyor	two	sample-375	Low	Low	Fill	2.146128036
sample-376	45	WS.45.4	Facility 1	2023	Spring	Filling	Conveyor	two	sample-376	Low	Low	Fill	2.079181246
sample-377	45	WS.45.3	Facility 1	2023	Winter	Filling	Conveyor	two	sample-377	High	High	Fill	6.832508913
sample-506	45	WS.45.1	Facility 1	2022	Summer	Filling	Conveyor	two	sample-506	High	High	Fill	5.303196057
sample-239	46	NL.46.2	Facility 3	2022	Fall	Filling	Non-FPE Structure	three	sample-239	Medium	Medium	Fill	3.008600172
sample-240	46	NL.46.4	Facility 3	2023	Spring	Filling	Non-FPE Structure	three	sample-240	Medium	Medium	Fill	3.120573931
sample-241	46	NL.46.3	Facility 3	2023	Winter	Filling	Non-FPE Structure	three	sample-241	High	High	Fill	5.477121255
sample-378	46	WS.46.2	Facility 1	2022	Fall	Warehouse	Drain	three	sample-378	High	High	Fill	7.195899652
sample-379	46	WS.46.4	Facility 1	2023	Spring	Warehouse	Drain	three	sample-379	High	High	Fill	7.394451681
sample-380	46	WS.46.3	Facility 1	2023	Winter	Warehouse	Drain	three	sample-380	High	High	Fill	7.255272505
sample-480	46	NL.46.1	Facility 3	2022	Summer	Filling	Non-FPE Structure	three	sample-480	High	High	Fill	5.875061263
sample-507	46	WS.46.1	Facility 1	2022	Summer	Warehouse	Drain	three	sample-507	Medium	Medium	Fill	4.633468456
sample-242	47	NL.47.2	Facility 3	2022	Fall	Filling	FPE Structure	two	sample-242	Low	Low	Fill	2.130333768
sample-243	47	NL.47.4	Facility 3	2023	Spring	Filling	FPE Structure	two	sample-243	High	High	Fill	5.643452676
sample-244	47	NL.47.3	Facility 3	2023	Winter	Filling	FPE Structure	two	sample-244	Medium	Medium	Fill	3.434568904
sample-381	47	WS.47.2	Facility 1	2022	Fall	Warehouse	Door	three	sample-381	Low	Low	Fill	2.204119983
sample-382	47	WS.47.4	Facility 1	2023	Spring	Warehouse	Door	three	sample-382	Medium	Medium	Fill	3.235528447
sample-383	47	WS.47.3	Facility 1	2023	Winter	Warehouse	Door	three	sample-383	Low	Low	Fill	2.982271233
sample-508	47	WS.47.1	Facility 1	2022	Summer	Warehouse	Door	three	sample-508	Low	Low	Fill	2.602059991
sample-245	48	NL.48.2	Facility 3	2022	Fall	Filling	Door	three	sample-245	Low	Low	Fill	1.602059991
sample-246	48	NL.48.4	Facility 3	2023	Spring	Filling	Door	three	sample-246	Low	Low	Fill	2.079181246
sample-247	48	NL.48.3	Facility 3	2023	Winter	Filling	Door	three	sample-247	Low	Low	Fill	2.643452676
sample-384	48	WS.48.2	Facility 1	2022	Fall	Warehouse	Door	three	sample-384	Medium	Medium	Fill	3.740362689
sample-385	48	WS.48.4	Facility 1	2023	Spring	Warehouse	Door	three	sample-385	Medium	Medium	Fill	3.10720997
sample-386	48	WS.48.3	Facility 1	2023	Winter	Warehouse	Door	three	sample-386	Medium	Medium	Fill	3.309630167
sample-509	48	WS.48.1	Facility 1	2022	Summer	Warehouse	Door	three	sample-509	Low	Low	Fill	2.954242509
sample-387	49	WS.49.2	Facility 1	2022	Fall	Warehouse	Fan/Vent	three	sample-387	Low	Low	Fill	2.51851394
sample-388	49	WS.49.4	Facility 1	2023	Spring	Warehouse	Fan/Vent	three	sample-388	Medium	Medium	Fill	3.45331834
sample-389	49	WS.49.3	Facility 1	2023	Winter	Warehouse	Fan/Vent	three	sample-389	Medium	Medium	Fill	3.079181246
sample-450	4A	B.04A.1	Facility 2	2022	Summer	Raw	Cleaning Tools	two	sample-450	Low	Low	Fill	1.698970004
sample-451	4B	B.04B.1	Facility 2	2022	Summer	Raw	Cleaning Tools	two	sample-451	Low	Low	Fill	1.477121255
sample-72	5	B.05.2	Facility 2	2022	Fall	Raw	Door	three	sample-72	Low	Low	Fill	2.531478917
sample-73	5	B.05.4	Facility 2	2023	Spring	Raw	Door	three	sample-73	Low	Low	Fill	1.903089987
sample-74	5	B.05.3	Facility 2	2023	Winter	Raw	Door	three	sample-74	Low	Low	Fill	2.556302501
sample-248	5	NL.05.2	Facility 3	2022	Fall	Warehouse	Cleaning Tools	three	sample-248	Medium	Medium	Fill	3.056904851
sample-249	5	NL.05.4	Facility 3	2023	Spring	Warehouse	Floor Object	three	sample-249	High	High	Fill	5.146128036
sample-250	5	NL.05.3	Facility 3	2023	Winter	Warehouse	Cleaning Tools	three	sample-250	High	High	Fill	5.049218023
sample-390	5	WS.05.2	Facility 1	2022	Fall	Warehouse	Forklift/Pallet Jack	three	sample-390	High	High	Fill	5.397940009
sample-391	5	WS.05.4	Facility 1	2023	Spring	Warehouse	Forklift/Pallet Jack	three	sample-391	High	High	Fill	7.434568904
sample-392	5	WS.05.3	Facility 1	2023	Winter	Warehouse	Forklift/Pallet Jack	three	sample-392	High	High	Fill	7.992995098
sample-481	5	NL.05.1	Facility 3	2022	Summer	Warehouse	Cleaning Tools	three	sample-481	Medium	Medium	Fill	3.447158031
sample-510	5	WS.05.1	Facility 1	2022	Summer	Warehouse	Forklift/Pallet Jack	three	sample-510	High	High	Fill	5.397940009
sample-251	50	NL.50.2	Facility 3	2022	Fall	Warehouse	Floor Object	three	sample-251	High	High	Fill	6.071882007
sample-252	50	NL.50.4	Facility 3	2023	Spring	Warehouse	Floor Object	three	sample-252	Medium	Medium	Fill	4.167317335
sample-253	50	NL.50.3	Facility 3	2023	Winter	Warehouse	Floor Object	three	sample-253	Medium	Medium	Fill	3.334453751
sample-393	50	WS.50.2	Facility 1	2022	Fall	Warehouse	Fan/Vent	three	sample-393	Low	Low	Fill	0
sample-394	50	WS.50.4	Facility 1	2023	Spring	Warehouse	Fan/Vent	three	sample-394	Low	Low	Fill	2.748188027
sample-395	50	WS.50.3	Facility 1	2023	Winter	Warehouse	Fan/Vent	three	sample-395	Medium	Medium	Fill	3.193124598
sample-482	50	NL.50.1	Facility 3	2022	Summer	Warehouse	Floor Object	three	sample-482	High	High	Fill	5.255272505
sample-511	50	WS.50.1	Facility 1	2022	Summer	Warehouse	Fan/Vent	three	sample-511	Low	Low	Fill	2.802773725
sample-254	51	NL.51.2	Facility 3	2022	Fall	Warehouse	Fan/Vent	three	sample-254	Low	Low	Fill	2.556302501
sample-255	51	NL.51.4	Facility 3	2023	Spring	Warehouse	Fan/Vent	three	sample-255	Low	Low	Fill	2.447158031
sample-256	51	NL.51.3	Facility 3	2023	Winter	Warehouse	Fan/Vent	three	sample-256	Medium	Medium	Fill	3.748188027
sample-396	51	WS.51.2	Facility 1	2022	Fall	Post-Pasteurization 	FPE Structure	two	sample-396	Low	Low	Fill	1.977723605
sample-397	51	WS.51.4	Facility 1	2023	Spring	Post-Pasteurization 	FPE Structure	two	sample-397	Medium	Medium	Fill	4.190331698
sample-398	51	WS.51.3	Facility 1	2023	Winter	Post-Pasteurization 	FPE Structure	two	sample-398	Medium	Medium	Fill	3.079181246
sample-512	51	WS.51.1	Facility 1	2022	Summer	Post-Pasteurization 	FPE Structure	two	sample-512	Medium	Medium	Fill	4.049218023
sample-257	52	NL.52.2	Facility 3	2022	Fall	Warehouse	Forklift/Pallet Jack	three	sample-257	Medium	Medium	Fill	4
sample-258	52	NL.52.4	Facility 3	2023	Spring	Warehouse	Forklift/Pallet Jack	three	sample-258	Medium	Medium	Fill	3.593286067
sample-259	52	NL.52.3	Facility 3	2023	Winter	Warehouse	Forklift/Pallet Jack	three	sample-259	Medium	Medium	Fill	4.120573931
sample-483	52	NL.52.1	Facility 3	2022	Summer	Warehouse	Forklift/Pallet Jack	three	sample-483	Medium	Medium	Fill	3.041392685
sample-452	5B	B.05B.1	Facility 2	2022	Summer	Raw	Door	three	sample-452	Low	Low	Fill	2.462397998
sample-75	6	B.06.2	Facility 2	2022	Fall	Raw	Floor Object	three	sample-75	Low	Low	Fill	1.544068044
sample-260	6	NL.06.2	Facility 3	2022	Fall	Warehouse	Non-FPE Structure	three	sample-260	Low	Low	Fill	2.380211242
sample-261	6	NL.06.4	Facility 3	2023	Spring	Warehouse	Non-FPE Structure	three	sample-261	Medium	Medium	Fill	3.301029996
sample-262	6	NL.06.3	Facility 3	2023	Winter	Warehouse	Non-FPE Structure	three	sample-262	Low	Low	Fill	2.643452676
sample-399	6	WS.06.2	Facility 1	2022	Fall	Warehouse	Forklift/Pallet Jack	three	sample-399	Medium	Medium	Fill	3.875061263
sample-400	6	WS.06.4	Facility 1	2023	Spring	Warehouse	Forklift/Pallet Jack	three	sample-400	High	High	Fill	6.673941999
sample-401	6	WS.06.3	Facility 1	2023	Winter	Warehouse	Forklift/Pallet Jack	three	sample-401	High	High	Fill	6.987666265
sample-513	6	WS.06.1	Facility 1	2022	Summer	Warehouse	Forklift/Pallet Jack	three	sample-513	High	High	Fill	5.123851641
sample-453	6B	B.06B.1	Facility 2	2022	Summer	Raw	Floor Object	three	sample-453	Low	Low	Fill	0
sample-76	7	B.07.2	Facility 2	2022	Fall	Raw	Drain	three	sample-76	Low	Low	Fill	1.544068044
sample-77	7	B.07.4	Facility 2	2023	Spring	Raw	Drain	three	sample-77	Low	Low	Fill	2.681241237
sample-78	7	B.07.3	Facility 2	2023	Winter	Raw	Drain	three	sample-78	Low	Low	Fill	1.602059991
sample-263	7	NL.07.2	Facility 3	2022	Fall	Warehouse	Door	three	sample-263	High	High	Fill	6.643452676
sample-264	7	NL.07.4	Facility 3	2023	Spring	Warehouse	Door	three	sample-264	High	High	Fill	5.883093359
sample-265	7	NL.07.3	Facility 3	2023	Winter	Warehouse	Door	three	sample-265	High	High	Fill	7.264817823
sample-402	7	WS.07.2	Facility 1	2022	Fall	Warehouse	Door	three	sample-402	Low	Low	Fill	0
sample-403	7	WS.07.3	Facility 1	2023	Winter	Warehouse	Door	three	sample-403	Low	Low	Fill	2.556302501
sample-484	7	NL.07.1	Facility 3	2022	Summer	Warehouse	Door	three	sample-484	Medium	Medium	Fill	4.176091259
sample-514	7	WS.07.1	Facility 1	2022	Summer	Warehouse	Door	three	sample-514	Low	Low	Fill	0
sample-454	7B	B.07B.1	Facility 2	2022	Summer	Raw	Drain	three	sample-454	Low	Low	Fill	0
sample-79	8	B.08.2	Facility 2	2022	Fall	Raw	Floor Object	three	sample-79	Medium	Medium	Fill	4.06069784
sample-80	8	B.08.4	Facility 2	2023	Spring	Raw	Floor Object	three	sample-80	Medium	Medium	Fill	3.499687083
sample-81	8	B.08.3	Facility 2	2023	Winter	Raw	Floor Object	three	sample-81	Medium	Medium	Fill	4.359835482
sample-266	8	NL.08.2	Facility 3	2022	Fall	Post-Pasteurization 	Floor Object	three	sample-266	High	High	Fill	6.342422681
sample-267	8	NL.08.4	Facility 3	2023	Spring	Post-Pasteurization 	Floor Object	three	sample-267	High	High	Fill	7.940516485
sample-268	8	NL.08.3	Facility 3	2023	Winter	Post-Pasteurization 	Floor Object	three	sample-268	High	High	Fill	7.930439595
sample-404	8	WS.08.2	Facility 1	2022	Fall	Raw	Drain	three	sample-404	High	High	Fill	8.053078443
sample-405	8	WS.08.4	Facility 1	2023	Spring	Raw	Drain	three	sample-405	High	High	Fill	8.890979597
sample-406	8	WS.08.3	Facility 1	2023	Winter	Raw	Drain	three	sample-406	High	High	Fill	8.021189299
sample-485	8	NL.08.1	Facility 3	2022	Summer	Post-Pasteurization 	Floor Object	three	sample-485	High	High	Fill	7.361727836
sample-515	8	WS.08.1	Facility 1	2022	Summer	Raw	Drain	three	sample-515	High	High	Fill	8.056904851
sample-82	9	B.09.2	Facility 2	2022	Fall	Raw	Cart/Rolling Bins	three	sample-82	Low	Low	Fill	2.130333768
sample-269	9	NL.09.4	Facility 3	2023	Spring	Post-Pasteurization 	Non-FPE Structure	three	sample-269	Low	Low	Fill	0
sample-270	9	NL.09.3	Facility 3	2023	Winter	Post-Pasteurization 	Non-FPE Structure	three	sample-270	High	High	Fill	5.619093331
sample-284	9	WS.09.2	Facility 1	2022	Fall	Raw	Hose	two	sample-284	High	High	Fill	6.84509804
sample-407	9	WS.09.4	Facility 1	2023	Spring	Raw	Hose	two	sample-407	High	High	Fill	7.365487985
sample-408	9	WS.09.3	Facility 1	2023	Winter	Raw	Hose	two	sample-408	High	High	Fill	8.908485019
sample-455	9B	B.09B.1	Facility 2	2022	Summer	Raw	Cart/Rolling Bins	three	sample-455	Low	Low	Fill	0.698970004
sample-83	E1	B.E1.4	Facility 2	2023	Spring	Filling	Non-FPE Structure	three	sample-83	Medium	Medium	Fill	3.627365857
sample-103	E1	B.E1.2	Facility 2	2022	Fall	Filling	Non-FPE Structure	three	sample-103	Low	Low	Fill	2.40654018
sample-104	E1	B.E1.3	Facility 2	2023	Winter	Filling	Non-FPE Structure	three	sample-104	Medium	Medium	Fill	4.40654018
sample-105	E1	NL.E1.2	Facility 3	2022	Fall	Office/Hallway	Non-FPE Structure	four	sample-105	Low	Low	Fill	0
sample-106	E1	WS.E1.2	Facility 1	2022	Fall	Warehouse	Non-FPE Structure	three	sample-106	Low	Low	Fill	0
sample-409	E1	WS.E1.4	Facility 1	2023	Spring	Warehouse	Non-FPE Structure	three	sample-409	Low	Low	Fill	2.556302501
sample-84	E10	B.E10.4	Facility 2	2023	Spring	Post-Pasteurization 	Non-FPE Structure	three	sample-84	Low	Low	Fill	0
sample-95	E10	B.E10.3	Facility 2	2023	Winter	Post-Pasteurization 	Non-FPE Structure	three	sample-95	Low	Low	Fill	1.602059991
sample-96	E10	NL.E10.2	Facility 3	2022	Fall	Warehouse	Drain	three	sample-96	Low	Low	Fill	2.591064607
sample-97	E10	NL.E10.3	Facility 3	2023	Winter	Warehouse	Drain	three	sample-97	Medium	Medium	Fill	3.930439595
sample-271	E10	NL.E10.4	Facility 3	2023	Spring	Warehouse	Drain	three	sample-271	Medium	Medium	Fill	4.049218023
sample-410	E10	WS.E10.4	Facility 1	2023	Spring	Filling	Conveyor	three	sample-410	Low	Low	Fill	2.505149978
sample-98	E11	NL.E11.2	Facility 3	2022	Fall	Filling	FPE Structure	two	sample-98	Medium	Medium	Fill	3.158362492
sample-99	E11	NL.E11.3	Facility 3	2023	Winter	Filling	FPE Structure	two	sample-99	Medium	Medium	Fill	4.260071388
sample-272	E11	NL.E11.4	Facility 3	2023	Spring	Filling	FPE Structure	two	sample-272	Medium	Medium	Fill	3.989449818
sample-411	E11	WS.E11.4	Facility 1	2023	Spring	Filling	Conveyor	three	sample-411	Low	Low	Fill	3
sample-100	E12	NL.E12.2	Facility 3	2022	Fall	Filling	FPE Structure	two	sample-100	High	High	Fill	8.004321374
sample-101	E12	NL.E12.3	Facility 3	2023	Winter	Filling	FPE Structure	two	sample-101	Low	Low	Fill	2.880813592
sample-273	E12	NL.E12.4	Facility 3	2023	Spring	Filling	FPE Structure	two	sample-273	Medium	Medium	Fill	3.120573931
sample-102	E13	NL.E13.3	Facility 3	2023	Winter	Filling	Floor Object	three	sample-102	High	High	Fill	6.482873584
